GENE_ID	A498	A549	ACHN	BT549	CAKI1	COLO205	DU145	EKVX	HCT116	HCT15	HL60	HOP62	HOP92	HS578T	HT29	IGROV1	K562	KM12	LOXIMVI	MCF7	MDAMB435	NCIH226	NCIH322T	NCIH460	NCIH522	OVCAR4	OVCAR5	OVCAR8	PC3	RPMI8226	SF268	SF539	SKMEL2	SKMEL28	SKMEL5	SKOV3	SR	SW620	T47D	TK10	UACC257	X786O
ENSG00000106333	25087	0	25548	30605	0	1148900	53642	7879.9	0	1325.7	255440	7036	42565	1604300	27624	0	0	14301	0	0	0	21440	0	48138	0	0	0	19397	13124	12541	108300	10517000	0	0	16721	44846	0	386050	54283	27304	35793	0
ENSG00000106344	0	460250	37149	250470	99703	196620	26977	4226.4	41843	6538.9	1560100	6092.7	190720	15644	59463	26990	67236	37285	23363	189950	0	60372	28448	863450	130690	187310	78202	762110	226530	46964	399030	175270	2122.6	0	55770	9335.5	65370	194430	14480	2005.6	68076	14581
ENSG00000106348	2125000	3964200	518700	139520	760380	7063200	830860	94023	47056	490820	1827700	77867	3159200	644790	834190	309970	396080	400060	5338200	248840	3776800	176830	516300	15431000	2328800	4594100	1922700	13264000	1022700	3281000	553280	3270200	212950	154960	707300	1169200	16779000	42407000	1638700	903910	28863000	1424100
ENSG00000106351	0	0	0	0	0	4239900	317230	0	9369.1	2946.3	14836	0	13558	70636	11566	0	0	0	0	0	122650	0	0	44666	0	0	0	0	0	0	47697	0	0	0	27418	0	0	0	8190.7	0	473160	0
ENSG00000106355	9081400	2985700	1227300	0	128990	2150200	10953000	2117500	0	181500	43147000	2243800	5743700	239570	7512800	216170	213620	2805100	3321000	6781600	3073000	7744400	1281900	2568800	5891800	6164500	134270	1214500	185360	4319600	1690500	1866000	464690	1149100	741480	3729500	4113200	10192000	2316100	3479900	1838900	58690
ENSG00000106366	2695300	639670	121560	2808700	11445000	1791200	650760	33014	55298	81928	723430	670140	11975000	2004100	327150	43353	660390	142340	952200	1059800	518860	16681000	45459	293060	57160	366680	270190	1175300	257390	332640	4216400	2139300	83755	13201	466620	134050	1031100	570660	360820	80334	2816000	203240
ENSG00000106367	2225200	552270	1119100	374020	304320	12343000	2231300	73527	168300	351380	631910	0	2058500	294600	1287200	101150	617730	380920	863130	1568300	317080	809730	919600	1548900	481410	4661300	819690	2375500	285640	2987000	750390	661260	114090	0	822050	479220	509950	748740	1330600	948490	227480	0
ENSG00000106392	0	0	0	0	0	1396000	0	0	0	0	0	33887	53948	0	0	0	0	0	0	0	16484	288470	0	104760	0	0	5264.4	153200	0	67179	0	153770	0	0	279070	0	0	293500	7674.6	40059	836220	12464
ENSG00000106397	9421000	2049600	1657400	4140300	959350	870680	1123500	126950	45880	404160	3223100	178540	12909000	2801000	4069200	5184800	1226100	1154200	554430	1872700	10769000	3166000	77558	3221800	826360	29411000	1461400	1391900	7289800	2220800	2945100	7115500	101560	1745800	11737000	491750	4124400	2716700	309690	858630	20123000	2433800
ENSG00000106399	4608900	981480	2929800	1552200	164610	28060000	3402300	1065200	63302	57579	4426000	2051000	3941000	244780	2157096	100880	1654100	2252000	1205300	3619500	1741900	2451137	470530	5971300	2841400	8141000	403090	12329000	11472000	602400	4040400	546940	75290	933990	1463000	1601500	4422200	309370	2333600	925950	972210	4430.7
ENSG00000106415	23334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39310	0	9365.7	0	0	4502.4	2953.8	0	0	37317	0	0	0	0	0	0	0	0	0	0	0	0	4041.5	0	0	0
ENSG00000106459	66959	283260	473940	207410	397490	4345500	941380	0	11943	60542	0	0	657160	238520	414230	131720	494150	275250	80768	474150	409690	258800	65745	866630	57247	1972200	249200	477360	564060	757280	628550	549760	49952	0	1275400	459820	508690	1972600	141100	323790	1419200	0
ENSG00000106460	242390	86526	48375	72639	135560	1483900	0	32009	109870	71319	118010	21530	737700	45647	165160	28465	193490	83117	0	347540	18772	994940	845980	402930	73743	21477	913670	38240	8293.8	28103	0	336700	3618.5	50680	327780	0	89323	55368	0	98847	783900	0
ENSG00000106462	0	11271	9823	0	99902	178150	0	0	0	53736	244060	0	0	131780	16199	3201.3	111150	8536.7	51211	0	75915	29879	0	309970	13527	81561	24484	74381	12656	31912	8467.1	329920	21767	0	46181	12632	104430	345280	55417	11652	70512	0
ENSG00000106477	39659	0	0	46555	25199	428340	0	939.56	0	3372.6	0	48626	0	8208.5	16799	18903	0	5267	17383	41949	71116	11803	0	113630	0	0	0	170820	75294	34509	0	24677	6919.4	19695	182000	0	52433	44387	11921	8220.5	18992	0
ENSG00000106484	452920	131720	654110	3203500	122590	5430600	6248900	36276	31559	90207	668630	298690	825480	73574	1858700	158370	62979	126020	1425700	927700	1197900	1156300	273710	1716600	82089	2050300	328140	929310	2466000	105730	9508000	1040400	38907	0	0	665350	2096700	395110	1014300	716970	1243500	219060
ENSG00000106524	153280	79478	133780	0	0	1835300	167050	11828	0	46838	298420	185210	123270	0	133800	3398.3	265040	25540	0	220580	17038	6039.3	54155	348360	133350	19323	406310	405680	83996	13398	36944	123550	22007	25876	103460	22439	62786	44761	41151	26740	47930	364620
ENSG00000106538	95296	0	988180	0	0	0	254910	0	0	6582.8	224960	0	303140	0	0	0	0	255300	0	0	0	164680	32017	52493	105080	831860	169350	560300	285890	0	234110	204750	18114	0	332680	0	0	0	0	844770	551520	5368.6
ENSG00000106541	1306000	103690000	441510	345970	601530	774260000	1234200	440660	463290	1385400	4249400	30697	4740900	201800	38457000	309700	1350600	829730	250120	1574700	734420	1413300	185050000	162060000	477100	6192500	156240000	1859400	52472000	1732500	1827800	2672100	60892	173910	589860	1390700	1969900	4407700	268840000	216510	5729600	402350
ENSG00000106554	6223500	7572600	6804500	3132100	3829200	31952000	4895000	103880	58925	1722500	5512500	1534000	27991000	1773300	8090200	1480600	12837000	6734900	4614000	13140000	4738600	5472900	1653500	9795100	5548500	17093000	12945000	6552300	7570400	7889500	3839100	2211400	1696100	60952	14838000	1705100	7459600	23662000	1141700	3815200	8089100	1591700
ENSG00000106560	0	0	0	0	0	215980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27181	0	0	0	0	215250	18730	0	0	20570	0	0	0	0	0	0	0	0	0
ENSG00000106591	0	0	0	83446	35652	552680	0	0	0	0	0	257500	0	0	0	0	142740	0	0	0	0	0	0	0	0	0	0	0	56482	10585	0	0	0	0	0	0	0	0	0	0	445720	0
ENSG00000106603	774710	0	144040	215590	0	1068000	1855000	44378	389470	40214	0	3263.7	1570400	16293	101510	17843	364130	83031	55305	394930	0	136890	55078	1210600	349850	848850	31456	266370	179290	295970	64031	431860	17571	109770	81832	175450	248680	171070	69905	151010	268530	0
ENSG00000106605	26436000	1872700	7856700	2951500	4744800	24866000	9789900	652120	200610	603440	4168300	665080	18504000	1351300	1250800	1065700	7137700	2749600	1184100	1630700	1223500	7476200	2466600	7205300	5637100	5560600	4659400	3428000	5027200	31317000	32058000	4745300	792130	352170	12771000	5184700	3664400	9006100	11724000	5568800	7925400	385850
ENSG00000106608	42522	0	1990	0	0	399800	19421	0	0	13828	0	0	49436	0	30586	0	0	12020	0	34515	0	16134	16730	18279	6889.6	9068.6	106160	0	9766.3	28113	44767	18003	0	0	109780	19796	798.11	0	0	6669.4	0	0
ENSG00000106615	11794000	4472700	5712800	4053900	3501900	28470000	9101200	169150	1154600	371860	7771900	155940	15008000	1407800	7274600	0	4225500	2141600	2570200	9652300	2925900	4359300	150090	5305800	1166900	8880900	957130	14438000	2371100	6405300	4774700	1634000	172470	12964	7415700	1822700	3848500	1970700	1260300	6798400	10504000	142970
ENSG00000106617	415850	486370	105200	442380	50729	1868200	1699800	0	0	0	474970	2215.1	324260	334460	46291	189890	949240	0	460040	226080	1092400	162720	27688	257630	1305300	400340	181170	1455800	7239.5	148900	28761	19133	149890	0	5287300	84204	138760	482220	42259	20372	4084300	1905900
ENSG00000106624	5771	415490	1399.9	0	0	45129	7249.7	440.68	12918	0	57513	3366.6	0	4351.3	0	12925	0	0	97575	0	10897	0	4332.4	19930	0	0	7279.1	8144	0	0	6577	2690.4	0	0	0	0	93822	103500	75864	4896.9	346890	0
ENSG00000106628	8245.7	372730	455940	302370	148730	4272700	962250	87368	15556	181150	796490	12734	244400	123670	1271800	162400	448000	323110	194760	637090	334720	2572200	70058	849860	156820	1075500	706610	433080	591930	80213	196760	281900	57422	23079	680050	78386	631230	1368200	503330	229160	714750	505670
ENSG00000106635	0	29970	1247000	50277	255780	0	14367	0	5783.9	0	647830	23944	2086300	24270	0	0	96376	603910	1557600	0	199380	138480	393180	0	85770	0	2015700	56937	0	0	7029600	0	0	38323	0	0	46682	111000	334550	319910	175390	0
ENSG00000106636	7259300	3000100	1870500	9024500	950060	33195000	2997800	859260	34309	578700	5252200	483650	9861200	6923900	2683700	479180	5301100	2523088.9	3491600	3248200	4471200	2458600	527110	1958600	1121700	6468000	4942500	7530000	2637151	5143800	6794623	3054000	465160	70962	4216300	1734000	5849600	11999000	3641000	2835100	1379400	1296900
ENSG00000106638	5834600	1656100	1968800	1649400	1108300	20962000	2778700	47582	28251	318670	1983900	158630	10733000	729130	2650000	403410	1533600	1654000	450030	2235900	613360	4043900	5693400	3123000	1512900	4823100	5435300	724610	572710	104000	1089900	1481700	80962	41376	6459400	472440	2151400	5710900	896340	769740	5199700	300580
ENSG00000106665	548670	67024	224500	120670	166310	2952500	191490	3845.6	25704	26715	158280	1676.8	429510	85710	72437	39252	71841	233220	24429	600120	54302	203260	13412	146770	47846	350580	30755	190090	234140	200860	163160	289190	12980	1046.9	130240	140730	96324	461890	24460	74768	888930	3295.2
ENSG00000106682	23739140	14620990	4247800	8277190	5090200	37753250	24845120	3234600	303030	6074262.7	37523000	1481700	20249110	8625446	21828030	4812600	33112790	15976383	5237840	21694120	8924300	5142900	968330	17717000	7533016	23173000	9722438	17760000	19636706	16245380	52723900	2930145.9	5452900	87087	15042000	6310979	19162869	59889540	26955000	6810481	14277000	6073906
ENSG00000106683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6633.8	0	0	0	0	0	0	0	0	0	0	0
ENSG00000106723	77652	273070	211200	683230	119840	998000	658790	43421	115090	20097	464870	143020	190590	121300	287440	23996	103470	109520	16983	847220	81556	144880	5647.2	264630	160270	143180	210370	800950	83714	10138	28094	155360	131550	6194.3	115800	718870	165860	1165800	26123	74536	138760	0
ENSG00000106771	640750	1512400	667450	731390	1274500	2526200	4501700	33335	92956	249520	3962800	38331	1414200	246030	649740	350250	184150	278580	191060	2856900	706320	2379300	204280	1324600	1225300	3137600	2364300	2122000	336000	327640	318840	925590	255830	37565	1015400	911240	601970	1051800	1640400	398950	4292000	736490
